cohort,wave,reference_wave,cognitive_cut,functional_cut,common_living_observed_n,cognitive_occupancy,functional_occupancy
charls,1,1,-0.8518378561570561,0.1030717173399529,12264,0.20017938682322245,0.16984670580560993
charls,2,1,-0.8518378561570561,0.1030717173399529,13085,0.18051203668322507,0.16943064577760794
charls,3,1,-0.8518378561570561,0.1030717173399529,15570,0.19190751445086704,0.18754014129736674
charls,4,1,-0.8518378561570561,0.1030717173399529,11918,0.16781339150864238,0.16143648263131397
charls,5,1,-0.8518378561570561,0.1030717173399529,13195,0.18969306555513452,0.19613489958317545
charls,death,1,-0.8518378561570561,0.1030717173399529,0,,
elsa,2,1,-0.7205005149007164,0.11418438705104517,9224,0.17356895056374674,0.23352124891587164
elsa,3,1,-0.7205005149007164,0.11418438705104517,9467,0.15950142600612655,0.203971691137636
elsa,4,1,-0.7205005149007164,0.11418438705104517,10537,0.1488089589067097,0.24570560880706083
elsa,5,1,-0.7205005149007164,0.11418438705104517,9659,0.14659902681437,0.21078786623874107
elsa,7,1,-0.7205005149007164,0.11418438705104517,8910,0.13153759820426486,0.18956228956228957
elsa,9,1,-0.7205005149007164,0.11418438705104517,8058,0.12074956564904443,0.18838421444527179
elsa,6,1,-0.7205005149007164,0.11418438705104517,9902,0.13219551605736216,0.19995960412037972
elsa,8,1,-0.7205005149007164,0.11418438705104517,7845,0.13677501593371574,0.2045889101338432
elsa,1,1,-0.7205005149007164,0.11418438705104517,11700,0.19299145299145298,0.22376068376068375
hrs,5,5,-0.894690246888929,0.09963834264526807,15982,0.19409335502440245,0.18771117507195595
hrs,6,5,-0.894690246888929,0.09963834264526807,14762,0.18439235875897575,0.1957729304972226
hrs,7,5,-0.894690246888929,0.09963834264526807,16720,0.18444976076555025,0.1903708133971292
hrs,8,5,-0.894690246888929,0.09963834264526807,15705,0.19452403693091372,0.2098694683221904
hrs,9,5,-0.894690246888929,0.09963834264526807,14718,0.1966299768990352,0.20879195542872672
hrs,10,5,-0.894690246888929,0.09963834264526807,19357,0.2039055638787002,0.2215219300511443
hrs,11,5,-0.894690246888929,0.09963834264526807,18372,0.21467450468103635,0.21647071630742434
hrs,12,5,-0.894690246888929,0.09963834264526807,16779,0.21079921330234222,0.23642648548781214
hrs,13,5,-0.894690246888929,0.09963834264526807,19040,0.2046218487394958,0.2254201680672269
hrs,14,5,-0.894690246888929,0.09963834264526807,15741,0.1830252207610698,0.2269233212629439
hrs,15,5,-0.894690246888929,0.09963834264526807,14326,0.18721206198520174,0.21415607985480944
hrs,death,5,-0.894690246888929,0.09963834264526807,0,,
klosa,3,3,-0.6896089848700395,-0.001675002355252335,7488,0.21327457264957264,0.11912393162393162
klosa,4,3,-0.6896089848700395,-0.001675002355252335,7113,0.19808800787290876,0.11429776465626318
klosa,5,3,-0.6896089848700395,-0.001675002355252335,7551,0.2058005562177195,0.10594623228711429
klosa,6,3,-0.6896089848700395,-0.001675002355252335,7132,0.2047111609646663,0.11651710600112171
klosa,7,3,-0.6896089848700395,-0.001675002355252335,6554,0.22047604516325908,0.10482148306377785
klosa,death,3,-0.6896089848700395,-0.001675002355252335,0,,
mhas,1,1,-0.827007600367749,0.3771014980662484,12834,0.19985974754558206,0.12474676640174537
mhas,2,1,-0.827007600367749,0.3771014980662484,11744,0.3063692098092643,0.12806539509536785
mhas,3,1,-0.827007600367749,0.3771014980662484,13427,0.2143442317718031,0.19118194682356446
mhas,4,1,-0.827007600367749,0.3771014980662484,12890,0.23754848719937938,0.21675717610550815
mhas,5,1,-0.827007600367749,0.3771014980662484,15153,0.18979739985481422,0.1747508744143074
mhas,death,1,-0.827007600367749,0.3771014980662484,0,,
share,4,4,-0.741554373277462,0.25871036988475093,53905,0.20031536963175958,0.16655226787867544
share,5,4,-0.741554373277462,0.25871036988475093,61312,0.17125521920668058,0.15267810542797494
share,6,4,-0.741554373277462,0.25871036988475093,62189,0.1862065638617762,0.15309781472607695
share,8,4,-0.741554373277462,0.25871036988475093,50454,0.18579299956395925,0.16529908431442503
share,death,4,-0.741554373277462,0.25871036988475093,0,,
share,7,4,-0.741554373277462,0.25871036988475093,12878,0.225423202360615,0.1869855567634726
