cohort,mortality_available,standardization,state_definition,state_from,origin_intervals,returned_to_unimpaired_n,reversion_percent
hrs,True,fixed,matched_0.20,joint,9778,739,7.557782777664144
hrs,True,fixed,matched_0.20,unimpaired,101664,82716,81.36213408876299
klosa,True,fixed,matched_0.20,cognitive_only,3985,1248,31.317440401505646
klosa,True,fixed,matched_0.20,functional_only,1478,548,37.07713125845737
klosa,True,fixed,matched_0.20,joint,1664,102,6.129807692307692
klosa,True,fixed,matched_0.20,unimpaired,20398,17589,86.22904206294734
mhas,True,fixed,matched_0.20,cognitive_only,5713,1751,30.649396114125675
mhas,True,fixed,matched_0.20,functional_only,4516,1728,38.26395039858282
mhas,True,fixed,matched_0.20,joint,2306,200,8.673026886383347
mhas,True,fixed,matched_0.20,unimpaired,28979,21133,72.9252217122744
share,True,fixed,matched_0.20,cognitive_only,13550,4548,33.564575645756456
share,True,fixed,matched_0.20,functional_only,10826,3718,34.34324773692962
share,True,fixed,matched_0.20,joint,7111,551,7.748558571227676
share,True,fixed,matched_0.20,unimpaired,75754,60887,80.37463368270983
charls,True,fixed,matched_0.25,cognitive_only,5091,1787,35.101158907876645
charls,True,fixed,matched_0.25,functional_only,5658,2236,39.51926475786497
charls,True,fixed,matched_0.25,joint,2688,438,16.294642857142858
charls,True,fixed,matched_0.25,unimpaired,25655,19137,74.59364646267784
elsa,False,fixed,matched_0.25,cognitive_only,9294,4344,46.739832149774045
elsa,False,fixed,matched_0.25,functional_only,9310,2348,25.22019334049409
elsa,False,fixed,matched_0.25,joint,4777,513,10.738957504710068
elsa,False,fixed,matched_0.25,unimpaired,40097,30673,76.49699478763998
hrs,True,fixed,matched_0.25,cognitive_only,22829,7454,32.651452100398615
hrs,True,fixed,matched_0.25,functional_only,17374,4661,26.82744330608956
hrs,True,fixed,matched_0.25,joint,12385,824,6.65320952765442
hrs,True,fixed,matched_0.25,unimpaired,94513,74827,79.17111931691937
klosa,True,fixed,matched_0.25,cognitive_only,4835,1449,29.96897621509824
klosa,True,fixed,matched_0.25,functional_only,1359,492,36.20309050772627
klosa,True,fixed,matched_0.25,joint,1783,103,5.7767807066741454
klosa,True,fixed,matched_0.25,unimpaired,19548,16435,84.07509719664415
mhas,True,fixed,matched_0.25,cognitive_only,7349,2118,28.82024765274187
mhas,True,fixed,matched_0.25,functional_only,4080,1540,37.745098039215684
mhas,True,fixed,matched_0.25,joint,2742,219,7.986870897155361
mhas,True,fixed,matched_0.25,unimpaired,27343,19467,71.19555279230516
share,True,fixed,matched_0.25,cognitive_only,17692,5551,31.375763056748813
share,True,fixed,matched_0.25,functional_only,9613,3319,34.526162488297096
share,True,fixed,matched_0.25,joint,8324,633,7.604517059106199
share,True,fixed,matched_0.25,unimpaired,71612,56668,79.13198905211416
charls,True,wave,legacy,cognitive_only,8015,2873,35.84529008109794
charls,True,wave,legacy,functional_only,2339,897,38.349722103463016
charls,True,wave,legacy,joint,1846,287,15.547128927410617
charls,True,wave,legacy,unimpaired,26892,20739,77.11958946898706
elsa,False,wave,legacy,cognitive_only,10735,5217,48.59804378202143
elsa,False,wave,legacy,functional_only,5358,1373,25.625233296005973
elsa,False,wave,legacy,joint,3138,361,11.504142766093054
elsa,False,wave,legacy,unimpaired,44247,35530,80.299229326282
hrs,True,wave,legacy,cognitive_only,33702,10810,32.07524775977687
hrs,True,wave,legacy,functional_only,7643,1971,25.788303022373416
hrs,True,wave,legacy,joint,9004,550,6.108396268325189
hrs,True,wave,legacy,unimpaired,96752,76879,79.45985612700512
klosa,True,wave,legacy,cognitive_only,5203,1552,29.828944839515664
klosa,True,wave,legacy,functional_only,659,261,39.60546282245827
klosa,True,wave,legacy,joint,1415,77,5.4416961130742045
klosa,True,wave,legacy,unimpaired,20248,17181,84.85282497036745
mhas,True,wave,legacy,cognitive_only,10814,2686,24.838172739041983
mhas,True,wave,legacy,functional_only,2037,747,36.671575846833576
