cohort,intervals,median,q1,q3,minimum,maximum
charls,70067,2.0,2.0,2.9166666666667425,0.08333333333325754,8.0
elsa,67471,2.0,1.9166666666667425,2.1666666666667425,0.9166666666665151,3.1666666666667425
hrs,180628,2.0,1.75,2.1666666666667425,0.04166666666674246,18.75
klosa,29954,2.0,1.9166666666667425,2.0,0.08333333333325754,9.416666666666515
mhas,53922,3.0,2.083333333333485,3.166666666666515,0.08333333333325754,13.833333333333258
share,121528,2.0,1.8333333333332575,2.25,0.04166666666674246,9.833333333333258
