cohort,mortality_available,standardization,state_definition,state,n,percent,population
elsa,False,wave,legacy,unimpaired,56975,66.792103350449,living_domain_states_mortality_endpoint_unavailable
hrs,True,wave,legacy,cognitive_only,43256,23.832244272790383,living_domain_states_with_validated_death_endpoint
hrs,True,wave,legacy,functional_only,9579,5.277627794735044,living_domain_states_with_validated_death_endpoint
hrs,True,wave,legacy,joint,12402,6.8329825566660425,living_domain_states_with_validated_death_endpoint
hrs,True,wave,legacy,unimpaired,116265,64.05714537580853,living_domain_states_with_validated_death_endpoint
klosa,True,wave,legacy,cognitive_only,6839,19.08309615491936,living_domain_states_with_validated_death_endpoint
klosa,True,wave,legacy,functional_only,803,2.240638428483732,living_domain_states_with_validated_death_endpoint
klosa,True,wave,legacy,joint,1871,5.220715441709917,living_domain_states_with_validated_death_endpoint
klosa,True,wave,legacy,unimpaired,26325,73.45554997488699,living_domain_states_with_validated_death_endpoint
mhas,True,wave,legacy,cognitive_only,17224,26.078003875968992,living_domain_states_with_validated_death_endpoint
mhas,True,wave,legacy,functional_only,3153,4.773800872093023,living_domain_states_with_validated_death_endpoint
mhas,True,wave,legacy,joint,4460,6.752664728682171,living_domain_states_with_validated_death_endpoint
mhas,True,wave,legacy,unimpaired,41211,62.395530523255815,living_domain_states_with_validated_death_endpoint
share,True,wave,legacy,cognitive_only,58474,24.289476526348146,living_domain_states_with_validated_death_endpoint
share,True,wave,legacy,functional_only,7237,3.0061726856582673,living_domain_states_with_validated_death_endpoint
share,True,wave,legacy,joint,11847,4.9211175634922615,living_domain_states_with_validated_death_endpoint
share,True,wave,legacy,unimpaired,163180,67.78323322450133,living_domain_states_with_validated_death_endpoint
charls,True,wave,strict,cognitive_only,13567,19.702008393720682,five_state_including_validated_death
charls,True,wave,strict,death,2829,4.10827609241806,five_state_including_validated_death
charls,True,wave,strict,functional_only,2715,3.9427252000406616,five_state_including_validated_death
charls,True,wave,strict,joint,2474,3.592744804751601,five_state_including_validated_death
charls,True,wave,strict,unimpaired,47276,68.654245509069,five_state_including_validated_death
elsa,False,wave,strict,cognitive_only,12719,14.910553093714098,four_state_mortality_endpoint_unavailable
elsa,False,wave,strict,functional_only,5865,6.875571498909756,four_state_mortality_endpoint_unavailable
elsa,False,wave,strict,joint,3663,4.294154884996835,four_state_mortality_endpoint_unavailable
elsa,False,wave,strict,unimpaired,63055,73.91972052237931,four_state_mortality_endpoint_unavailable
hrs,True,wave,strict,cognitive_only,31960,16.412721399703173,five_state_including_validated_death
hrs,True,wave,strict,death,13225,6.791559465302706,five_state_including_validated_death
hrs,True,wave,strict,functional_only,8233,4.2279704406682175,five_state_including_validated_death
hrs,True,wave,strict,joint,7985,4.100612652585414,five_state_including_validated_death
hrs,True,wave,strict,unimpaired,133324,68.46713604174049,five_state_including_validated_death
klosa,True,wave,strict,cognitive_only,5916,15.770112491336567,five_state_including_validated_death
klosa,True,wave,strict,death,1676,4.467665404915498,five_state_including_validated_death
klosa,True,wave,strict,functional_only,437,1.1648984379165113,five_state_including_validated_death
klosa,True,wave,strict,joint,1549,4.129125126619395,five_state_including_validated_death
klosa,True,wave,strict,unimpaired,27936,74.46819853921203,five_state_including_validated_death
mhas,True,wave,strict,cognitive_only,13461,18.836320893329415,five_state_including_validated_death
mhas,True,wave,strict,death,5415,7.577347718399731,five_state_including_validated_death
mhas,True,wave,strict,functional_only,3184,4.45545247190854,five_state_including_validated_death
mhas,True,wave,strict,joint,3184,4.45545247190854,five_state_including_validated_death
mhas,True,wave,strict,unimpaired,46219,64.67542644445378,five_state_including_validated_death
share,True,wave,strict,cognitive_only,43876,17.25214491864644,five_state_including_validated_death
share,True,wave,strict,death,13584,5.341260292070682,five_state_including_validated_death
share,True,wave,strict,functional_only,8660,3.405132076658724,five_state_including_validated_death
share,True,wave,strict,joint,10085,3.965445380265962,five_state_including_validated_death
share,True,wave,strict,unimpaired,178117,70.03601733235818,five_state_including_validated_death
charls,True,wave,strict,cognitive_only,13567,20.546098861158228,living_domain_states_with_validated_death_endpoint
charls,True,wave,strict,functional_only,2715,4.111642839835231,living_domain_states_with_validated_death_endpoint
charls,True,wave,strict,joint,2474,3.746668282045069,living_domain_states_with_validated_death_endpoint
charls,True,wave,strict,unimpaired,47276,71.59559001696147,living_domain_states_with_validated_death_endpoint
elsa,False,wave,strict,cognitive_only,12719,14.910553093714098,living_domain_states_mortality_endpoint_unavailable
elsa,False,wave,strict,functional_only,5865,6.875571498909756,living_domain_states_mortality_endpoint_unavailable
elsa,False,wave,strict,joint,3663,4.294154884996835,living_domain_states_mortality_endpoint_unavailable
elsa,False,wave,strict,unimpaired,63055,73.91972052237931,living_domain_states_mortality_endpoint_unavailable
hrs,True,wave,strict,cognitive_only,31960,17.608621392601734,living_domain_states_with_validated_death_endpoint
hrs,True,wave,strict,functional_only,8233,4.536038170378288,living_domain_states_with_validated_death_endpoint
hrs,True,wave,strict,joint,7985,4.399400557569614,living_domain_states_with_validated_death_endpoint
hrs,True,wave,strict,unimpaired,133324,73.45593987945037,living_domain_states_with_validated_death_endpoint
klosa,True,wave,strict,cognitive_only,5916,16.50761761258999,living_domain_states_with_validated_death_endpoint
klosa,True,wave,strict,functional_only,437,1.2193760812545342,living_domain_states_with_validated_death_endpoint
klosa,True,wave,strict,joint,1549,4.322227802890787,living_domain_states_with_validated_death_endpoint
klosa,True,wave,strict,unimpaired,27936,77.95077850326469,living_domain_states_with_validated_death_endpoint
mhas,True,wave,strict,cognitive_only,13461,20.38063226744186,living_domain_states_with_validated_death_endpoint
mhas,True,wave,strict,functional_only,3184,4.820736434108527,living_domain_states_with_validated_death_endpoint
mhas,True,wave,strict,joint,3184,4.820736434108527,living_domain_states_with_validated_death_endpoint
mhas,True,wave,strict,unimpaired,46219,69.97789486434108,living_domain_states_with_validated_death_endpoint
share,True,wave,strict,cognitive_only,43876,18.225622876321978,living_domain_states_with_validated_death_endpoint
share,True,wave,strict,functional_only,8660,3.597271722785767,living_domain_states_with_validated_death_endpoint
share,True,wave,strict,joint,10085,4.1892015386021315,living_domain_states_with_validated_death_endpoint
share,True,wave,strict,unimpaired,178117,73.98790386229012,living_domain_states_with_validated_death_endpoint
charls,True,wave,matched_0.15,cognitive_only,7038,10.22058930308883,five_state_including_validated_death
charls,True,wave,matched_0.15,death,2829,4.10827609241806,five_state_including_validated_death
charls,True,wave,matched_0.15,functional_only,7033,10.21332829903719,five_state_including_validated_death
charls,True,wave,matched_0.15,joint,2877,4.177981731313806,five_state_including_validated_death
charls,True,wave,matched_0.15,unimpaired,49084,71.27982457414211,five_state_including_validated_death
elsa,False,wave,matched_0.15,cognitive_only,8869,10.39717708846217,four_state_mortality_endpoint_unavailable
elsa,False,wave,matched_0.15,functional_only,8751,10.258845044664838,four_state_mortality_endpoint_unavailable
elsa,False,wave,matched_0.15,joint,3827,4.4864129797660075,four_state_mortality_endpoint_unavailable
elsa,False,wave,matched_0.15,unimpaired,63855,74.85756488710699,four_state_mortality_endpoint_unavailable
hrs,True,wave,matched_0.15,cognitive_only,18350,9.423449239191278,five_state_including_validated_death
hrs,True,wave,matched_0.15,death,13225,6.791559465302706,five_state_including_validated_death
hrs,True,wave,matched_0.15,functional_only,16994,8.727089720480468,five_state_including_validated_death
hrs,True,wave,matched_0.15,joint,8856,4.547905529279452,five_state_including_validated_death
hrs,True,wave,matched_0.15,unimpaired,137302,70.50999604574609,five_state_including_validated_death
klosa,True,wave,matched_0.15,cognitive_only,3450,9.196566615130351,five_state_including_validated_death
klosa,True,wave,matched_0.15,death,1676,4.467665404915498,five_state_including_validated_death
klosa,True,wave,matched_0.15,functional_only,2093,5.579250413179079,five_state_including_validated_death
klosa,True,wave,matched_0.15,joint,1930,5.144745961507704,five_state_including_validated_death
klosa,True,wave,matched_0.15,unimpaired,28365,75.61177160526736,five_state_including_validated_death
mhas,True,wave,matched_0.15,cognitive_only,6991,9.782684745952452,five_state_including_validated_death
mhas,True,wave,matched_0.15,death,5415,7.577347718399731,five_state_including_validated_death
mhas,True,wave,matched_0.15,functional_only,6529,9.13619635335768,five_state_including_validated_death
mhas,True,wave,matched_0.15,joint,2917,4.081832556707667,five_state_including_validated_death
mhas,True,wave,matched_0.15,unimpaired,49611,69.42193862558247,five_state_including_validated_death
share,True,wave,matched_0.15,cognitive_only,23451,9.220987566942695,five_state_including_validated_death
share,True,wave,matched_0.15,death,13584,5.341260292070682,five_state_including_validated_death
share,True,wave,matched_0.15,functional_only,25237,9.923246907463767,five_state_including_validated_death
share,True,wave,matched_0.15,joint,12650,4.97400932675899,five_state_including_validated_death
share,True,wave,matched_0.15,unimpaired,179400,70.54049590676387,five_state_including_validated_death
charls,True,wave,matched_0.15,cognitive_only,7038,10.658468621274533,living_domain_states_with_validated_death_endpoint
charls,True,wave,matched_0.15,functional_only,7033,10.650896535013327,living_domain_states_with_validated_death_endpoint
charls,True,wave,matched_0.15,joint,2877,4.356978434698328,living_domain_states_with_validated_death_endpoint
charls,True,wave,matched_0.15,unimpaired,49084,74.33365640901381,living_domain_states_with_validated_death_endpoint
elsa,False,wave,matched_0.15,cognitive_only,8869,10.39717708846217,living_domain_states_mortality_endpoint_unavailable
elsa,False,wave,matched_0.15,functional_only,8751,10.258845044664838,living_domain_states_mortality_endpoint_unavailable
elsa,False,wave,matched_0.15,joint,3827,4.4864129797660075,living_domain_states_mortality_endpoint_unavailable
elsa,False,wave,matched_0.15,unimpaired,63855,74.85756488710699,living_domain_states_mortality_endpoint_unavailable
hrs,True,wave,matched_0.15,cognitive_only,18350,10.110081431609569,living_domain_states_with_validated_death_endpoint
hrs,True,wave,matched_0.15,functional_only,16994,9.362982226091173,living_domain_states_with_validated_death_endpoint
hrs,True,wave,matched_0.15,joint,8856,4.879285076748466,living_domain_states_with_validated_death_endpoint
hrs,True,wave,matched_0.15,unimpaired,137302,75.64765126555079,living_domain_states_with_validated_death_endpoint
klosa,True,wave,matched_0.15,cognitive_only,3450,9.626653273062113,living_domain_states_with_validated_death_endpoint
klosa,True,wave,matched_0.15,functional_only,2093,5.840169652324349,living_domain_states_with_validated_death_endpoint
klosa,True,wave,matched_0.15,joint,1930,5.3853451643506896,living_domain_states_with_validated_death_endpoint
klosa,True,wave,matched_0.15,unimpaired,28365,79.14783191026285,living_domain_states_with_validated_death_endpoint
mhas,True,wave,matched_0.15,cognitive_only,6991,10.584726259689923,living_domain_states_with_validated_death_endpoint
mhas,True,wave,matched_0.15,functional_only,6529,9.885234980620154,living_domain_states_with_validated_death_endpoint
mhas,True,wave,matched_0.15,joint,2917,4.416484980620155,living_domain_states_with_validated_death_endpoint
mhas,True,wave,matched_0.15,unimpaired,49611,75.11355377906976,living_domain_states_with_validated_death_endpoint
share,True,wave,matched_0.15,cognitive_only,23451,9.741295516287416,living_domain_states_with_validated_death_endpoint
share,True,wave,matched_0.15,functional_only,25237,10.483180885443927,living_domain_states_with_validated_death_endpoint
share,True,wave,matched_0.15,joint,12650,5.254675207071588,living_domain_states_with_validated_death_endpoint
share,True,wave,matched_0.15,unimpaired,179400,74.52084839119706,living_domain_states_with_validated_death_endpoint
charls,True,wave,matched_0.20,cognitive_only,8794,12.77065392602489,five_state_including_validated_death
charls,True,wave,matched_0.20,death,2829,4.10827609241806,five_state_including_validated_death
charls,True,wave,matched_0.20,functional_only,8781,12.751775315490626,five_state_including_validated_death
charls,True,wave,matched_0.20,joint,4408,6.401301171926054,five_state_including_validated_death
charls,True,wave,matched_0.20,unimpaired,44049,63.96799349414037,five_state_including_validated_death
elsa,False,wave,matched_0.20,cognitive_only,11025,12.924667651403249,four_state_mortality_endpoint_unavailable
elsa,False,wave,matched_0.20,functional_only,11130,13.047759724273757,four_state_mortality_endpoint_unavailable
elsa,False,wave,matched_0.20,joint,5732,6.719654873273781,four_state_mortality_endpoint_unavailable
elsa,False,wave,matched_0.20,unimpaired,57415,67.30791775104922,four_state_mortality_endpoint_unavailable
hrs,True,wave,matched_0.20,cognitive_only,22122,11.360520112773267,five_state_including_validated_death
hrs,True,wave,matched_0.20,death,13225,6.791559465302706,five_state_including_validated_death
hrs,True,wave,matched_0.20,functional_only,23263,11.946468645847776,five_state_including_validated_death
hrs,True,wave,matched_0.20,joint,13622,6.995434634128806,five_state_including_validated_death
hrs,True,wave,matched_0.20,unimpaired,122495,62.906017141947444,five_state_including_validated_death
klosa,True,wave,matched_0.20,cognitive_only,5058,13.48296635922589,five_state_including_validated_death
klosa,True,wave,matched_0.20,death,1676,4.467665404915498,five_state_including_validated_death
klosa,True,wave,matched_0.20,functional_only,1839,4.902169856586874,five_state_including_validated_death
klosa,True,wave,matched_0.20,joint,2184,5.821826518099909,five_state_including_validated_death
klosa,True,wave,matched_0.20,unimpaired,26757,71.32537186117183,five_state_including_validated_death
mhas,True,wave,matched_0.20,cognitive_only,9186,12.854204273540153,five_state_including_validated_death
mhas,True,wave,matched_0.20,death,5415,7.577347718399731,five_state_including_validated_death
mhas,True,wave,matched_0.20,functional_only,7082,9.910023368736269,five_state_including_validated_death
mhas,True,wave,matched_0.20,joint,4032,5.642080517190714,five_state_including_validated_death
mhas,True,wave,matched_0.20,unimpaired,45748,64.01634412213313,five_state_including_validated_death
share,True,wave,matched_0.20,cognitive_only,32466,12.765706466605327,five_state_including_validated_death
share,True,wave,matched_0.20,death,13584,5.341260292070682,five_state_including_validated_death
share,True,wave,matched_0.20,functional_only,22839,8.980347748130322,five_state_including_validated_death
share,True,wave,matched_0.20,joint,15769,6.20040735760178,five_state_including_validated_death
share,True,wave,matched_0.20,unimpaired,169664,66.71227813559189,five_state_including_validated_death
charls,True,wave,matched_0.20,cognitive_only,8794,13.317785316210323,living_domain_states_with_validated_death_endpoint
charls,True,wave,matched_0.20,functional_only,8781,13.298097891931185,living_domain_states_with_validated_death_endpoint
charls,True,wave,matched_0.20,joint,4408,6.675551247879816,living_domain_states_with_validated_death_endpoint
charls,True,wave,matched_0.20,unimpaired,44049,66.70856554397868,living_domain_states_with_validated_death_endpoint
elsa,False,wave,matched_0.20,cognitive_only,11025,12.924667651403249,living_domain_states_mortality_endpoint_unavailable
elsa,False,wave,matched_0.20,functional_only,11130,13.047759724273757,living_domain_states_mortality_endpoint_unavailable
elsa,False,wave,matched_0.20,joint,5732,6.719654873273781,living_domain_states_mortality_endpoint_unavailable
elsa,False,wave,matched_0.20,unimpaired,57415,67.30791775104922,living_domain_states_mortality_endpoint_unavailable
hrs,True,wave,matched_0.20,cognitive_only,22122,12.188295445780211,living_domain_states_with_validated_death_endpoint
hrs,True,wave,matched_0.20,functional_only,23263,12.816938656323346,living_domain_states_with_validated_death_endpoint
hrs,True,wave,matched_0.20,joint,13622,7.505151458386133,living_domain_states_with_validated_death_endpoint
hrs,True,wave,matched_0.20,unimpaired,122495,67.4896144395103,living_domain_states_with_validated_death_endpoint
klosa,True,wave,matched_0.20,cognitive_only,5058,14.113510798593671,living_domain_states_with_validated_death_endpoint
klosa,True,wave,matched_0.20,functional_only,1839,5.131424744684413,living_domain_states_with_validated_death_endpoint
klosa,True,wave,matched_0.20,joint,2184,6.094090071990625,living_domain_states_with_validated_death_endpoint
klosa,True,wave,matched_0.20,unimpaired,26757,74.66097438473129,living_domain_states_with_validated_death_endpoint
mhas,True,wave,matched_0.20,cognitive_only,9186,13.908066860465116,living_domain_states_with_validated_death_endpoint
mhas,True,wave,matched_0.20,functional_only,7082,10.72250484496124,living_domain_states_with_validated_death_endpoint
mhas,True,wave,matched_0.20,joint,4032,6.104651162790698,living_domain_states_with_validated_death_endpoint
mhas,True,wave,matched_0.20,unimpaired,45748,69.26477713178295,living_domain_states_with_validated_death_endpoint
share,True,wave,matched_0.20,cognitive_only,32466,13.486030456346734,living_domain_states_with_validated_death_endpoint
share,True,wave,matched_0.20,functional_only,22839,9.487077237494704,living_domain_states_with_validated_death_endpoint
share,True,wave,matched_0.20,joint,15769,6.5502745723566695,living_domain_states_with_validated_death_endpoint
share,True,wave,matched_0.20,unimpaired,169664,70.47661773380189,living_domain_states_with_validated_death_endpoint
charls,True,wave,matched_0.25,cognitive_only,10419,15.130480242807975,five_state_including_validated_death
charls,True,wave,matched_0.25,death,2829,4.10827609241806,five_state_including_validated_death
charls,True,wave,matched_0.25,functional_only,9452,13.72620205922075,five_state_including_validated_death
charls,True,wave,matched_0.25,joint,6085,8.836641930846197,five_state_including_validated_death
charls,True,wave,matched_0.25,unimpaired,40076,58.19839967470702,five_state_including_validated_death
elsa,False,wave,matched_0.25,cognitive_only,13158,15.425195188858408,four_state_mortality_endpoint_unavailable
elsa,False,wave,matched_0.25,functional_only,12468,14.616304424280791,four_state_mortality_endpoint_unavailable
elsa,False,wave,matched_0.25,joint,8060,9.44878197463131,four_state_mortality_endpoint_unavailable
elsa,False,wave,matched_0.25,unimpaired,51616,60.50971841222949,four_state_mortality_endpoint_unavailable
hrs,True,wave,matched_0.25,cognitive_only,29194,14.992271231005459,five_state_including_validated_death
hrs,True,wave,matched_0.25,death,13225,6.791559465302706,five_state_including_validated_death
hrs,True,wave,matched_0.25,functional_only,21687,11.137130444160286,five_state_including_validated_death
hrs,True,wave,matched_0.25,joint,16919,8.68857426037478,five_state_including_validated_death
hrs,True,wave,matched_0.25,unimpaired,113702,58.390464599156765,five_state_including_validated_death
klosa,True,wave,matched_0.25,cognitive_only,6361,16.956336301114252,five_state_including_validated_death
klosa,True,wave,matched_0.25,death,1676,4.467665404915498,five_state_including_validated_death
klosa,True,wave,matched_0.25,functional_only,1674,4.462334061950205,five_state_including_validated_death
klosa,True,wave,matched_0.25,joint,2349,6.261662312736578,five_state_including_validated_death
klosa,True,wave,matched_0.25,unimpaired,25454,67.85200191928347,five_state_including_validated_death
mhas,True,wave,matched_0.25,cognitive_only,11769,16.468662104865455,five_state_including_validated_death
mhas,True,wave,matched_0.25,death,5415,7.577347718399731,five_state_including_validated_death
mhas,True,wave,matched_0.25,functional_only,6363,8.903908316191595,five_state_including_validated_death
mhas,True,wave,matched_0.25,joint,4751,6.648195569735387,five_state_including_validated_death
mhas,True,wave,matched_0.25,unimpaired,43165,60.40188629080783,five_state_including_validated_death
share,True,wave,matched_0.25,cognitive_only,41947,16.493657646605485,five_state_including_validated_death
share,True,wave,matched_0.25,death,13584,5.341260292070682,five_state_including_validated_death
share,True,wave,matched_0.25,functional_only,20350,8.001667177829681,five_state_including_validated_death
share,True,wave,matched_0.25,joint,18258,7.179087927902423,five_state_including_validated_death
share,True,wave,matched_0.25,unimpaired,160183,62.98432695559173,five_state_including_validated_death
charls,True,wave,matched_0.25,cognitive_only,10419,15.778713351102496,living_domain_states_with_validated_death_endpoint
charls,True,wave,matched_0.25,functional_only,9452,14.314271868185122,living_domain_states_with_validated_death_endpoint
charls,True,wave,matched_0.25,joint,6085,9.215228979888538,living_domain_states_with_validated_death_endpoint
charls,True,wave,matched_0.25,unimpaired,40076,60.691785800823844,living_domain_states_with_validated_death_endpoint
elsa,False,wave,matched_0.25,cognitive_only,13158,15.425195188858408,living_domain_states_mortality_endpoint_unavailable
elsa,False,wave,matched_0.25,functional_only,12468,14.616304424280791,living_domain_states_mortality_endpoint_unavailable
elsa,False,wave,matched_0.25,joint,8060,9.44878197463131,living_domain_states_mortality_endpoint_unavailable
elsa,False,wave,matched_0.25,unimpaired,51616,60.50971841222949,living_domain_states_mortality_endpoint_unavailable
hrs,True,wave,matched_0.25,cognitive_only,29194,16.084671243292085,living_domain_states_with_validated_death_endpoint
hrs,True,wave,matched_0.25,functional_only,21687,11.948628665248867,living_domain_states_with_validated_death_endpoint
hrs,True,wave,matched_0.25,joint,16919,9.321660367378872,living_domain_states_with_validated_death_endpoint
hrs,True,wave,matched_0.25,unimpaired,113702,62.64503972408018,living_domain_states_with_validated_death_endpoint
klosa,True,wave,matched_0.25,cognitive_only,6361,17.7493163681009,living_domain_states_with_validated_death_endpoint
klosa,True,wave,matched_0.25,functional_only,1674,4.67101958814666,living_domain_states_with_validated_death_endpoint
klosa,True,wave,matched_0.25,joint,2349,6.554495228528378,living_domain_states_with_validated_death_endpoint
klosa,True,wave,matched_0.25,unimpaired,25454,71.02516881522406,living_domain_states_with_validated_death_endpoint
mhas,True,wave,matched_0.25,cognitive_only,11769,17.818859011627907,living_domain_states_with_validated_death_endpoint
mhas,True,wave,matched_0.25,functional_only,6363,9.63390261627907,living_domain_states_with_validated_death_endpoint
mhas,True,wave,matched_0.25,joint,4751,7.193253391472868,living_domain_states_with_validated_death_endpoint
mhas,True,wave,matched_0.25,unimpaired,43165,65.35398498062015,living_domain_states_with_validated_death_endpoint
share,True,wave,matched_0.25,cognitive_only,41947,17.424336830911614,living_domain_states_with_validated_death_endpoint
share,True,wave,matched_0.25,functional_only,20350,8.45317315920212,living_domain_states_with_validated_death_endpoint
share,True,wave,matched_0.25,joint,18258,7.584178650649253,living_domain_states_with_validated_death_endpoint
share,True,wave,matched_0.25,unimpaired,160183,66.53831135923701,living_domain_states_with_validated_death_endpoint
