cohort,mortality_available,standardization,state_definition,state,n,percent,population
hrs,True,fixed,strict,cognitive_only,37358,19.184807448376446,five_state_including_validated_death
hrs,True,fixed,strict,death,13225,6.791559465302706,five_state_including_validated_death
hrs,True,fixed,strict,functional_only,7497,3.8500053921644146,five_state_including_validated_death
hrs,True,fixed,strict,joint,8755,4.496038043003795,five_state_including_validated_death
hrs,True,fixed,strict,unimpaired,127892,65.67758965115264,five_state_including_validated_death
klosa,True,fixed,strict,cognitive_only,5916,15.770112491336567,five_state_including_validated_death
klosa,True,fixed,strict,death,1676,4.467665404915498,five_state_including_validated_death
klosa,True,fixed,strict,functional_only,437,1.1648984379165113,five_state_including_validated_death
klosa,True,fixed,strict,joint,1549,4.129125126619395,five_state_including_validated_death
klosa,True,fixed,strict,unimpaired,27936,74.46819853921203,five_state_including_validated_death
mhas,True,fixed,strict,cognitive_only,14774,20.673635307781648,five_state_including_validated_death
mhas,True,fixed,strict,death,5415,7.577347718399731,five_state_including_validated_death
mhas,True,fixed,strict,functional_only,2904,4.063641324881407,five_state_including_validated_death
mhas,True,fixed,strict,joint,3213,4.49603291213635,five_state_including_validated_death
mhas,True,fixed,strict,unimpaired,45157,63.18934273680086,five_state_including_validated_death
share,True,fixed,strict,cognitive_only,40911,16.086300044825066,five_state_including_validated_death
share,True,fixed,strict,death,13584,5.341260292070682,five_state_including_validated_death
share,True,fixed,strict,functional_only,9138,3.593082784816099,five_state_including_validated_death
share,True,fixed,strict,joint,9946,3.9107902580193614,five_state_including_validated_death
share,True,fixed,strict,unimpaired,180743,71.0685666202688,five_state_including_validated_death
charls,True,fixed,strict,cognitive_only,13120,19.869154349406347,living_domain_states_with_validated_death_endpoint
charls,True,fixed,strict,functional_only,2663,4.032893142718682,living_domain_states_with_validated_death_endpoint
charls,True,fixed,strict,joint,2379,3.602798643082142,living_domain_states_with_validated_death_endpoint
charls,True,fixed,strict,unimpaired,47870,72.49515386479283,living_domain_states_with_validated_death_endpoint
elsa,False,fixed,strict,cognitive_only,10589,12.413542472626668,living_domain_states_mortality_endpoint_unavailable
elsa,False,fixed,strict,functional_only,6834,8.011535485686151,living_domain_states_mortality_endpoint_unavailable
elsa,False,fixed,strict,joint,3706,4.344564019600948,living_domain_states_mortality_endpoint_unavailable
elsa,False,fixed,strict,unimpaired,64173,75.23035802208624,living_domain_states_mortality_endpoint_unavailable
hrs,True,fixed,strict,cognitive_only,37358,20.582693303655056,living_domain_states_with_validated_death_endpoint
hrs,True,fixed,strict,functional_only,7497,4.130532996881577,living_domain_states_with_validated_death_endpoint
hrs,True,fixed,strict,joint,8755,4.823638307015901,living_domain_states_with_validated_death_endpoint
