analysis,adjustment_set,state_definition,standardization,persistent,outcome,exposure,term,estimand,death_handling,k,pooled,ci_low,ci_high,prediction_low,prediction_high,tau2,i2,cohorts,covariates_by_cohort,n_total,clusters_total,mortality_availability_by_cohort,scale
exclude_elsa_continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[functional],paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,5,0.097085656789871,0.07634564574897691,0.11782566783076508,0.05872546755472371,0.13544584602501827,8.949048282486807e-05,52.82067315884127,"charls,hrs,klosa,mhas,share","charls:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",316422,119350,charls:True;hrs:True;klosa:True;mhas:True;share:True,beta
exclude_elsa_transition_gee,mental_health,matched_0.20,fixed,False,any_cognitive,cmm4_start,cmm4_start,survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,5,1.0026771181686263,0.9237743806064248,1.0883192091113822,0.8103405282704068,1.240665335405089,0.0036070578390133604,85.24991685184861,"charls,hrs,klosa,mhas,share","charls:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",229619,96320,charls:True;hrs:True;klosa:True;mhas:True;share:True,odds_ratio
exclude_elsa_transition_gee,mental_health,matched_0.20,fixed,False,any_functional,cmm4_start,cmm4_start,survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,5,1.3184042149613218,1.244928765583611,1.3962161708207714,1.1626825518000756,1.4949821611554228,0.0011333179183386026,61.587368538924856,"charls,hrs,klosa,mhas,share","charls:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",229619,96320,charls:True;hrs:True;klosa:True;mhas:True;share:True,odds_ratio
exclude_interval_outside_0_5_to_5y_binary_domain_interaction,mental_health,matched_0.20,fixed,False,any_domain,cmm4_start,"C(domain, Treatment(reference='cognitive'))[T.functional]:cmm4_start",survivor_conditional_paired_domain_contrast,observed_living_endpoint_survivor_conditional_model,6,1.3216294087433813,1.2264521160771586,1.4241928169542093,1.1009276917461415,1.5865749468841093,0.003485328545461173,76.04363269368287,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",532250,107206,charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,ratio_of_odds_ratios
exclude_interval_outside_0_5_to_5y_binary_domain_interaction,mental_health,matched_0.20,fixed,False,any_domain,cmm4_start,cmm4_start,survivor_conditional_paired_domain_contrast,observed_living_endpoint_survivor_conditional_model,6,1.0060598644409722,0.9460466032496198,1.069880117282049,0.8579029762661914,1.1798029367425038,0.00271971523296679,81.76929552899233,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",532250,107206,charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,odds_ratio
exclude_interval_outside_0_5_to_5y_continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[cognitive],paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,6,0.0458939323179614,0.024281808025487288,0.06750605661043552,-0.0058504686390170105,0.09763833327493981,0.000276649218842594,74.33012114628693,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",361560,130671,charls:False;elsa:False;hrs:False;klosa:False;mhas:False;share:False,beta
exclude_interval_outside_0_5_to_5y_continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[functional-minus-cognitive],paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,6,0.05337261362272364,0.032537780524478165,0.07420744672096913,0.008445763423972734,0.09829946382147456,0.0001961459437426265,51.61042202141382,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",361560,130671,charls:False;elsa:False;hrs:False;klosa:False;mhas:False;share:False,beta
exclude_interval_outside_0_5_to_5y_continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[functional],paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,6,0.096000559106175,0.08089358492834067,0.11110753328400932,0.07041035419136579,0.1215907640209842,5.0413570109726816e-05,41.82596739187373,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",361560,130671,charls:False;elsa:False;hrs:False;klosa:False;mhas:False;share:False,beta
exclude_interval_outside_0_5_to_5y_continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,observed_interval_change,not_applicable_to_observed_interval_change,6,0.04956865620964433,0.030720284618423698,0.06841702780086496,0.006056658968775358,0.0930806534505133,0.00019184333699602467,69.60389006066279,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",380933,133524,charls:False;elsa:False;hrs:False;klosa:False;mhas:False;share:False,beta
exclude_interval_outside_0_5_to_5y_continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,observed_interval_change,not_applicable_to_observed_interval_change,6,0.1602610304590597,0.14839574661242655,0.17212631430569286,0.14744552355666524,0.17307653736145417,0.0,0.0,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",398422,142662,charls:False;elsa:False;hrs:False;klosa:False;mhas:False;share:False,beta
