cohort,analysis,adjustment_set,state_definition,standardization,persistent,outcome,exposure,registered_model_cell,successful_target_terms,failed_or_skipped_models,completion_status
elsa,continuous_gee_wave_unannualised,mental_health,continuous,wave,False,cognitive_worsening_wave_raw,cmm4_change_raw,True,1,0,estimated
elsa,continuous_gee_wave_unannualised,mental_health,continuous,wave,False,functional_worsening_wave_raw,cmm4_change_raw,True,1,0,estimated
elsa,continuous_interval_central_cohort_iqr,base,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
elsa,continuous_interval_central_cohort_iqr,base,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
elsa,continuous_interval_gt_1.5_to_2.5y,base,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
elsa,continuous_interval_gt_1.5_to_2.5y,base,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
elsa,continuous_interval_gt_2.5y,base,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
elsa,continuous_interval_gt_2.5y,base,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
elsa,continuous_interval_le_1.5y,base,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
elsa,continuous_interval_le_1.5y,base,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
elsa,continuous_source_metric_wave_fe,mental_health,continuous,source_total_or_fixed_reference_item_z_mean,False,cognitive_worsening_source_metric,cmm4_change_raw,True,1,0,estimated
elsa,continuous_source_metric_wave_fe,mental_health,continuous,source_total_or_fixed_reference_item_z_mean,False,functional_worsening_source_metric,cmm4_change_raw,True,1,0,estimated
elsa,continuous_sustained_diagnosis,base,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_sustained_raw,True,1,0,estimated
elsa,continuous_sustained_diagnosis,base,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_sustained_raw,True,1,0,estimated
elsa,continuous_sustained_diagnosis,base,continuous,wave,False,cognitive_worsening_wave_raw,cmm4_change_sustained_raw,True,1,0,estimated
elsa,continuous_sustained_diagnosis,base,continuous,wave,False,functional_worsening_wave_raw,cmm4_change_sustained_raw,True,1,0,estimated
elsa,transition_gee,base,matched_0.20,fixed,False,any_cognitive,cmm4_start,True,1,0,estimated
elsa,transition_gee,base,matched_0.20,fixed,False,any_functional,cmm4_start,True,1,0,estimated
elsa,transition_gee,lifestyle,matched_0.20,fixed,False,any_cognitive,cmm4_start,True,0,1,failed_or_skipped
elsa,transition_gee,lifestyle,matched_0.20,fixed,False,any_functional,cmm4_start,True,0,1,failed_or_skipped
elsa,transition_gee,medication_burden,matched_0.20,fixed,False,any_cognitive,cmm4_start,True,0,1,failed_or_skipped
elsa,transition_gee,medication_burden,matched_0.20,fixed,False,any_functional,cmm4_start,True,0,1,failed_or_skipped
elsa,transition_gee,mental_health,legacy,fixed,False,any_cognitive,cmm4_start,True,1,0,estimated
elsa,transition_gee,mental_health,legacy,fixed,False,any_functional,cmm4_start,True,1,0,estimated
elsa,transition_gee,mental_health,legacy,fixed,False,cognitive_only,cmm4_start,True,1,0,estimated
elsa,transition_gee,mental_health,legacy,fixed,False,death,cmm4_start,True,0,1,failed_or_skipped
elsa,transition_gee,mental_health,legacy,fixed,False,functional_only,cmm4_start,True,1,0,estimated
elsa,transition_gee,mental_health,legacy,fixed,False,joint,cmm4_start,True,1,0,estimated
elsa,transition_gee,mental_health,legacy,wave,False,any_cognitive,cmm4_start,True,1,0,estimated
elsa,transition_gee,mental_health,legacy,wave,False,any_functional,cmm4_start,True,1,0,estimated
elsa,transition_gee,mental_health,matched_0.15,fixed,False,any_cognitive,cmm4_start,True,1,0,estimated
elsa,transition_gee,mental_health,matched_0.15,fixed,False,any_functional,cmm4_start,True,1,0,estimated
elsa,transition_gee,mental_health,matched_0.20,fixed,False,any_cognitive,cmm4_start,True,1,0,estimated
elsa,transition_gee,mental_health,matched_0.20,fixed,False,any_cognitive,cmm5_start,True,1,0,estimated
elsa,transition_gee,mental_health,matched_0.20,fixed,False,any_functional,cmm4_start,True,1,0,estimated
elsa,transition_gee,mental_health,matched_0.20,fixed,False,any_functional,cmm5_start,True,1,0,estimated
elsa,transition_gee,mental_health,matched_0.20,fixed,False,cognitive_only,cmm4_start,True,1,0,estimated
elsa,transition_gee,mental_health,matched_0.20,fixed,False,death,cmm4_start,True,0,1,failed_or_skipped
elsa,transition_gee,mental_health,matched_0.20,fixed,False,functional_only,cmm4_start,True,1,0,estimated
elsa,transition_gee,mental_health,matched_0.20,fixed,False,joint,cmm4_start,True,1,0,estimated
elsa,transition_gee,mental_health,matched_0.20,fixed,True,any_cognitive,cmm4_start,True,1,0,estimated
elsa,transition_gee,mental_health,matched_0.20,fixed,True,any_functional,cmm4_start,True,1,0,estimated
elsa,transition_gee,mental_health,matched_0.20,wave,False,any_cognitive,cmm4_start,True,1,0,estimated
elsa,transition_gee,mental_health,matched_0.20,wave,False,any_functional,cmm4_start,True,1,0,estimated
elsa,transition_gee,mental_health,matched_0.25,fixed,False,any_cognitive,cmm4_start,True,1,0,estimated
elsa,transition_gee,mental_health,matched_0.25,fixed,False,any_functional,cmm4_start,True,1,0,estimated
elsa,transition_gee,mental_health,strict,fixed,False,any_cognitive,cmm4_start,True,1,0,estimated
elsa,transition_gee,mental_health,strict,fixed,False,any_functional,cmm4_start,True,1,0,estimated
elsa,transition_gee,socioeconomic,matched_0.20,fixed,False,any_cognitive,cmm4_start,True,0,1,failed_or_skipped
elsa,transition_gee,socioeconomic,matched_0.20,fixed,False,any_functional,cmm4_start,True,0,1,failed_or_skipped
elsa,transition_gee_ipcw,mental_health,matched_0.20,fixed,False,any_cognitive,cmm4_start,True,1,0,estimated
elsa,transition_gee_ipcw,mental_health,matched_0.20,fixed,False,any_functional,cmm4_start,True,1,0,estimated
elsa,transition_multinomial_cluster,mental_health,matched_0.20,fixed,False,state_to,cmm4_start,True,3,0,estimated
hrs,binary_domain_interaction,mental_health,legacy,fixed,False,any_domain,cmm4_start,True,2,0,estimated
hrs,binary_domain_interaction,mental_health,matched_0.20,fixed,False,any_domain,cmm4_start,True,2,0,estimated
hrs,continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,cmm4_change_raw,True,3,0,estimated
hrs,continuous_domain_interaction,mental_health,continuous,wave,False,stacked_worsening,cmm4_change_raw,True,3,0,estimated
hrs,continuous_gee_fixed_annualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_annual,cmm4_change_annual,True,1,0,estimated
hrs,continuous_gee_fixed_annualised,mental_health,continuous,fixed,False,functional_worsening_fixed_annual,cmm4_change_annual,True,1,0,estimated
hrs,continuous_gee_fixed_unannualised,base,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
hrs,continuous_gee_fixed_unannualised,base,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
hrs,continuous_gee_fixed_unannualised,lifestyle,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
hrs,continuous_gee_fixed_unannualised,lifestyle,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
hrs,continuous_gee_fixed_unannualised,medication_burden,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,True,0,1,failed_or_skipped
hrs,continuous_gee_fixed_unannualised,medication_burden,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,True,0,1,failed_or_skipped
hrs,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
hrs,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm5_change_raw,True,1,0,estimated
hrs,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
hrs,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,functional_worsening_fixed_raw,cmm5_change_raw,True,1,0,estimated
hrs,continuous_gee_fixed_unannualised,socioeconomic,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,True,0,1,failed_or_skipped
hrs,continuous_gee_fixed_unannualised,socioeconomic,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,True,0,1,failed_or_skipped
