cohort,mortality_available,standardization,state_definition,persistent,outcome,intervals,events,event_percent
share,True,wave,matched_0.15,False,any_cognitive,80081,4807,6.00267229430202
share,True,wave,matched_0.15,False,any_functional,80081,6321,7.893258076197849
share,True,wave,matched_0.15,False,cognitive_only,80081,3806,4.7526879034977085
share,True,wave,matched_0.15,False,functional_only,80081,5320,6.643273685393539
share,True,wave,matched_0.15,False,joint,80081,1001,1.2499843908043107
share,True,wave,matched_0.15,False,death,80081,4521,5.645533896929359
charls,True,wave,matched_0.15,True,any_cognitive,18104,430,2.375165709235528
charls,True,wave,matched_0.15,True,any_functional,18104,536,2.9606716747680073
charls,True,wave,matched_0.15,True,cognitive_only,18104,293,1.6184268669907205
charls,True,wave,matched_0.15,True,functional_only,18104,421,2.32545293857711
charls,True,wave,matched_0.15,True,joint,18104,34,0.18780380026513477
elsa,False,wave,matched_0.15,True,any_cognitive,38412,1151,2.996459439758409
elsa,False,wave,matched_0.15,True,any_functional,38412,1087,2.8298448401541187
elsa,False,wave,matched_0.15,True,cognitive_only,38412,798,2.077475788815995
elsa,False,wave,matched_0.15,True,functional_only,38412,715,1.861397479954181
elsa,False,wave,matched_0.15,True,joint,38412,116,0.3019889617827762
hrs,True,wave,matched_0.15,True,any_cognitive,87200,2229,2.5561926605504586
hrs,True,wave,matched_0.15,True,any_functional,87200,2059,2.3612385321100917
hrs,True,wave,matched_0.15,True,cognitive_only,87200,1652,1.8944954128440366
hrs,True,wave,matched_0.15,True,functional_only,87200,1453,1.6662844036697249
hrs,True,wave,matched_0.15,True,joint,87200,181,0.20756880733944955
klosa,True,wave,matched_0.15,True,any_cognitive,14737,435,2.951754088349053
klosa,True,wave,matched_0.15,True,any_functional,14737,270,1.8321232272511367
klosa,True,wave,matched_0.15,True,cognitive_only,14737,260,1.7642668114270204
klosa,True,wave,matched_0.15,True,functional_only,14737,148,1.0042749541969194
klosa,True,wave,matched_0.15,True,joint,14737,70,0.47499491076881317
mhas,True,wave,matched_0.15,True,any_cognitive,16621,738,4.440166054990675
mhas,True,wave,matched_0.15,True,any_functional,16621,666,4.006979122796462
mhas,True,wave,matched_0.15,True,cognitive_only,16621,443,2.6653029300282776
mhas,True,wave,matched_0.15,True,functional_only,16621,421,2.5329402563022683
mhas,True,wave,matched_0.15,True,joint,16621,86,0.5174177245653089
share,True,wave,matched_0.15,True,any_cognitive,33286,764,2.2952592681607884
share,True,wave,matched_0.15,True,any_functional,33286,1003,3.0132788559754853
share,True,wave,matched_0.15,True,cognitive_only,33286,475,1.4270263774559875
share,True,wave,matched_0.15,True,functional_only,33286,724,2.175088625848705
share,True,wave,matched_0.15,True,joint,33286,107,0.3214564681848225
charls,True,wave,matched_0.20,False,any_cognitive,27808,2755,9.907220943613348
charls,True,wave,matched_0.20,False,any_functional,27808,3470,12.478423475258918
charls,True,wave,matched_0.20,False,cognitive_only,27808,2155,7.749568469505179
charls,True,wave,matched_0.20,False,functional_only,27808,2870,10.320771001150748
charls,True,wave,matched_0.20,False,joint,27808,600,2.15765247410817
charls,True,wave,matched_0.20,False,death,27808,538,1.9346950517836594
elsa,False,wave,matched_0.20,False,any_cognitive,44486,5548,12.471339297756598
elsa,False,wave,matched_0.20,False,any_functional,44486,3839,8.629681248033089
elsa,False,wave,matched_0.20,False,cognitive_only,44486,4708,10.583104797014792
elsa,False,wave,matched_0.20,False,functional_only,44486,2999,6.741446747291283
elsa,False,wave,matched_0.20,False,joint,44486,840,1.8882345007418064
hrs,True,wave,matched_0.20,False,any_cognitive,101664,9106,8.956956248032736
hrs,True,wave,matched_0.20,False,any_functional,101664,8541,8.401203966005665
hrs,True,wave,matched_0.20,False,cognitive_only,101664,7610,7.485442241107963
hrs,True,wave,matched_0.20,False,functional_only,101664,7045,6.929689959080894
hrs,True,wave,matched_0.20,False,joint,101664,1496,1.4715140069247719
hrs,True,wave,matched_0.20,False,death,101664,2797,2.751219704123387
klosa,True,wave,matched_0.20,False,any_cognitive,20398,1743,8.544955387783117
klosa,True,wave,matched_0.20,False,any_functional,20398,797,3.90724580841259
klosa,True,wave,matched_0.20,False,cognitive_only,20398,1493,7.319345033826846
klosa,True,wave,matched_0.20,False,functional_only,20398,547,2.6816354544563192
klosa,True,wave,matched_0.20,False,joint,20398,250,1.2256103539562702
klosa,True,wave,matched_0.20,False,death,20398,519,2.5443670948132167
mhas,True,wave,matched_0.20,False,any_cognitive,28979,3599,12.419338141412748
mhas,True,wave,matched_0.20,False,any_functional,28979,3337,11.515235170295732
mhas,True,wave,matched_0.20,False,cognitive_only,28979,2792,9.634562959384382
mhas,True,wave,matched_0.20,False,functional_only,28979,2530,8.730459988267366
mhas,True,wave,matched_0.20,False,joint,28979,807,2.7847751820283655
mhas,True,wave,matched_0.20,False,death,28979,1717,5.924980158045481
share,True,wave,matched_0.20,False,any_cognitive,75754,6059,7.998257517754838
share,True,wave,matched_0.20,False,any_functional,75754,5872,7.751405866356892
share,True,wave,matched_0.20,False,cognitive_only,75754,4963,6.551469229347625
share,True,wave,matched_0.20,False,functional_only,75754,4776,6.30461757794968
share,True,wave,matched_0.20,False,joint,75754,1096,1.4467882884072127
share,True,wave,matched_0.20,False,death,75754,4032,5.322491221585659
charls,True,wave,matched_0.20,True,any_cognitive,16780,586,3.492252681764005
charls,True,wave,matched_0.20,True,any_functional,16780,815,4.856972586412396
charls,True,wave,matched_0.20,True,cognitive_only,16780,351,2.091775923718713
charls,True,wave,matched_0.20,True,functional_only,16780,602,3.5876042908224077
charls,True,wave,matched_0.20,True,joint,16780,56,0.33373063170441003
elsa,False,wave,matched_0.20,True,any_cognitive,34871,1436,4.118035043445843
elsa,False,wave,matched_0.20,True,any_functional,34871,1322,3.7911158269048775
elsa,False,wave,matched_0.20,True,cognitive_only,34871,971,2.7845487654498005
elsa,False,wave,matched_0.20,True,functional_only,34871,802,2.299905365489949
elsa,False,wave,matched_0.20,True,joint,34871,153,0.43876000114708497
hrs,True,wave,matched_0.20,True,any_cognitive,78683,2703,3.4353036869463547
hrs,True,wave,matched_0.20,True,any_functional,78683,2673,3.397176010065707
hrs,True,wave,matched_0.20,True,cognitive_only,78683,1906,2.422378404483815
hrs,True,wave,matched_0.20,True,functional_only,78683,1849,2.3499358184105845
hrs,True,wave,matched_0.20,True,joint,78683,245,0.31137602785862256
klosa,True,wave,matched_0.20,True,any_cognitive,13889,601,4.327165382676939
klosa,True,wave,matched_0.20,True,any_functional,13889,240,1.7279861761105912
klosa,True,wave,matched_0.20,True,cognitive_only,13889,419,3.0167758657930737
klosa,True,wave,matched_0.20,True,functional_only,13889,125,0.8999928000575995
klosa,True,wave,matched_0.20,True,joint,13889,69,0.4967960256317949
mhas,True,wave,matched_0.20,True,any_cognitive,15457,988,6.3919259882254
mhas,True,wave,matched_0.20,True,any_functional,15457,849,5.492657048586401
mhas,True,wave,matched_0.20,True,cognitive_only,15457,546,3.532380151387721
mhas,True,wave,matched_0.20,True,functional_only,15457,484,3.1312673869444265
mhas,True,wave,matched_0.20,True,joint,15457,144,0.9316167432231351
share,True,wave,matched_0.20,True,any_cognitive,31797,1040,3.2707488127810795
share,True,wave,matched_0.20,True,any_functional,31797,1030,3.2392993049658774
share,True,wave,matched_0.20,True,cognitive_only,31797,674,2.1196968267446614
share,True,wave,matched_0.20,True,functional_only,31797,715,2.2486398087869923
share,True,wave,matched_0.20,True,joint,31797,122,0.3836839953454728
charls,True,wave,matched_0.25,False,any_cognitive,25655,3154,12.293899824595595
charls,True,wave,matched_0.25,False,any_functional,25655,3598,14.02455661664393
charls,True,wave,matched_0.25,False,cognitive_only,25655,2441,9.514714480608069
charls,True,wave,matched_0.25,False,functional_only,25655,2885,11.245371272656403
charls,True,wave,matched_0.25,False,joint,25655,713,2.7791853439875265
charls,True,wave,matched_0.25,False,death,25655,479,1.8670824400701618
elsa,False,wave,matched_0.25,False,any_cognitive,40097,6227,15.52984013766616
elsa,False,wave,matched_0.25,False,any_functional,40097,4229,10.546923710003242
elsa,False,wave,matched_0.25,False,cognitive_only,40097,5195,12.956081502356783
elsa,False,wave,matched_0.25,False,functional_only,40097,3197,7.973165074693868
elsa,False,wave,matched_0.25,False,joint,40097,1032,2.5737586353093747
hrs,True,wave,matched_0.25,False,any_cognitive,94513,11047,11.688339170272872
hrs,True,wave,matched_0.25,False,any_functional,94513,7935,8.395670436871118
hrs,True,wave,matched_0.25,False,cognitive_only,94513,9342,9.884354533238813
hrs,True,wave,matched_0.25,False,functional_only,94513,6230,6.591685799837059
hrs,True,wave,matched_0.25,False,joint,94513,1705,1.803984637034059
hrs,True,wave,matched_0.25,False,death,94513,2409,2.5488557129707026
klosa,True,wave,matched_0.25,False,any_cognitive,19548,2159,11.044608144055658
klosa,True,wave,matched_0.25,False,any_functional,19548,753,3.8520564763658687
klosa,True,wave,matched_0.25,False,cognitive_only,19548,1891,9.673623900143237
klosa,True,wave,matched_0.25,False,functional_only,19548,485,2.4810722324534478
klosa,True,wave,matched_0.25,False,joint,19548,268,1.3709842439124207
klosa,True,wave,matched_0.25,False,death,19548,469,2.399222426846736
mhas,True,wave,matched_0.25,False,any_cognitive,27343,4091,14.961781808872471
mhas,True,wave,matched_0.25,False,any_functional,27343,3097,11.326482097794683
mhas,True,wave,matched_0.25,False,cognitive_only,27343,3225,11.794609223567274
mhas,True,wave,matched_0.25,False,functional_only,27343,2231,8.159309512489484
mhas,True,wave,matched_0.25,False,joint,27343,866,3.1671725853051966
mhas,True,wave,matched_0.25,False,death,27343,1554,5.683355886332882
share,True,wave,matched_0.25,False,any_cognitive,71612,7164,10.00390995922471
share,True,wave,matched_0.25,False,any_functional,71612,5345,7.4638328771714235
share,True,wave,matched_0.25,False,cognitive_only,71612,6011,8.393844607049097
share,True,wave,matched_0.25,False,functional_only,71612,4192,5.853767524995811
share,True,wave,matched_0.25,False,joint,71612,1153,1.6100653521756132
share,True,wave,matched_0.25,False,death,71612,3588,5.010333463665308
charls,True,wave,matched_0.25,True,any_cognitive,15477,739,4.774827162886865
charls,True,wave,matched_0.25,True,any_functional,15477,860,5.556632422304064
charls,True,wave,matched_0.25,True,cognitive_only,15477,423,2.733087807714673
charls,True,wave,matched_0.25,True,functional_only,15477,559,3.6118110744976417
charls,True,wave,matched_0.25,True,joint,15477,92,0.5944304451767138
elsa,False,wave,matched_0.25,True,any_cognitive,31529,1715,5.439436709061499
elsa,False,wave,matched_0.25,True,any_functional,31529,1633,5.179358685654477
elsa,False,wave,matched_0.25,True,cognitive_only,31529,1093,3.4666497510228678
elsa,False,wave,matched_0.25,True,functional_only,31529,926,2.9369786545719814
elsa,False,wave,matched_0.25,True,joint,31529,215,0.6819118906403628
hrs,True,wave,matched_0.25,True,any_cognitive,73941,3516,4.755142613705522
hrs,True,wave,matched_0.25,True,any_functional,73941,2748,3.716476650302268
hrs,True,wave,matched_0.25,True,cognitive_only,73941,2497,3.3770168107004235
hrs,True,wave,matched_0.25,True,functional_only,73941,1730,2.3397032769370174
hrs,True,wave,matched_0.25,True,joint,73941,330,0.4463017811498357
klosa,True,wave,matched_0.25,True,any_cognitive,13323,719,5.396682428882384
klosa,True,wave,matched_0.25,True,any_functional,13323,228,1.7113262778653455
klosa,True,wave,matched_0.25,True,cognitive_only,13323,536,4.023117916385199
klosa,True,wave,matched_0.25,True,functional_only,13323,103,0.7730991518426781
klosa,True,wave,matched_0.25,True,joint,13323,71,0.5329130075808752
mhas,True,wave,matched_0.25,True,any_cognitive,14705,1256,8.541312478748726
mhas,True,wave,matched_0.25,True,any_functional,14705,788,5.358721523291397
mhas,True,wave,matched_0.25,True,cognitive_only,14705,733,4.984699081944917
mhas,True,wave,matched_0.25,True,functional_only,14705,413,2.808568514110847
mhas,True,wave,matched_0.25,True,joint,14705,165,1.1220673240394423
share,True,wave,matched_0.25,True,any_cognitive,30252,1293,4.274097580325268
share,True,wave,matched_0.25,True,any_functional,30252,935,3.0907047467936004
share,True,wave,matched_0.25,True,cognitive_only,30252,875,2.892370752346952
share,True,wave,matched_0.25,True,functional_only,30252,609,2.0130900436334787
share,True,wave,matched_0.25,True,joint,30252,127,0.4198069549120719
