cohort,scheduled_risk_rows,competing_deaths_excluded_from_censoring_model,non_death_response_model_rows,responded_rows,non_death_nonresponse_rows,response_percent,weight_p01,weight_median,weight_p99,weight_max_after_truncation,status,reason
charls,77233,2829,74404,67238,7166,90.36879737648513,0.9422412711598623,0.972883170728579,1.3308258553920387,1.3308258553920387,estimated,
elsa,81333,0,81333,67471,13862,82.95648752658822,0.8839393219684966,0.962017642017625,1.616763105637202,1.616763105637202,estimated,
hrs,192951,13225,179726,167403,12323,93.14345169869691,0.9336918897412511,0.9916705952247976,1.1714730720049855,1.1714730720049855,estimated,
klosa,30845,1384,29461,28278,1183,95.98452191032212,0.9811278964357883,0.9938116676777757,1.0912980152260228,1.0912980152260228,estimated,
mhas,59380,5415,53965,48507,5458,89.88603724636339,0.9437227895183444,0.9826735507862802,1.2047213783520194,1.2047213783520194,estimated,
share,206023,12744,193279,107944,85335,55.84879888658364,0.6878745187389999,0.9820643215123579,1.4291282164271817,1.4291282164271817,estimated,
