cohort,domain,reference_wave,n_complete,pearson_r,spearman_brown,omega_reported
charls,function_domains,1,17248,0.6817102119996146,0.8107344620201079,False
elsa,function_domains,1,11908,0.6584110708057666,0.7940263815121139,False
elsa,cognition_components,1,11701,0.24770704377718358,0.39705962230893566,False
hrs,function_domains,5,17564,0.7267936886271552,0.8417840456725026,False
klosa,function_domains,3,7920,0.8193816907982264,0.9007254441905864,False
mhas,function_domains,1,12962,0.6809411596023771,0.8101903576011574,False
mhas,cognition_components,1,13962,0.43646081748148813,0.6076891373155925,False
share,function_domains,4,57666,0.6949792424113876,0.8200445468850285,False
