cohort,mortality_available,standardization,state_definition,persistent,state_from,origin_intervals,origin_percent
mhas,True,fixed,strict,True,cognitive_only,3921,19.553184062235076
mhas,True,fixed,strict,True,functional_only,709,3.535630578965741
mhas,True,fixed,strict,True,joint,334,1.6655861965790655
mhas,True,fixed,strict,True,unimpaired,15089,75.24559916222012
share,True,fixed,strict,True,cognitive_only,6049,14.464716994667496
share,True,fixed,strict,True,functional_only,1286,3.0751572251847246
share,True,fixed,strict,True,joint,762,1.8221382625122553
share,True,fixed,strict,True,unimpaired,33722,80.63798751763552
charls,True,fixed,matched_0.15,False,cognitive_only,3010,7.6997851222756575
charls,True,fixed,matched_0.15,False,functional_only,4376,11.19410621098946
charls,True,fixed,matched_0.15,False,joint,1184,3.028752685971554
charls,True,fixed,matched_0.15,False,unimpaired,30522,78.07735598076333
elsa,False,fixed,matched_0.15,False,cognitive_only,6018,9.480449919657204
elsa,False,fixed,matched_0.15,False,functional_only,6214,9.789218311856077
elsa,False,fixed,matched_0.15,False,joint,2001,3.152273228520117
elsa,False,fixed,matched_0.15,False,unimpaired,49245,77.5780585399666
hrs,True,fixed,matched_0.15,False,cognitive_only,14063,9.56009816384661
hrs,True,fixed,matched_0.15,False,functional_only,13216,8.98430330181304
hrs,True,fixed,matched_0.15,False,joint,6177,4.1991556821503595
hrs,True,fixed,matched_0.15,False,unimpaired,113645,77.25644285218999
klosa,True,fixed,matched_0.15,False,cognitive_only,2635,9.573115349682107
klosa,True,fixed,matched_0.15,False,functional_only,1684,6.118074477747502
klosa,True,fixed,matched_0.15,False,joint,1458,5.29700272479564
klosa,True,fixed,matched_0.15,False,unimpaired,21748,79.01180744777476
mhas,True,fixed,matched_0.15,False,cognitive_only,4383,10.557884087295852
mhas,True,fixed,matched_0.15,False,functional_only,3813,9.184853302500361
mhas,True,fixed,matched_0.15,False,joint,1589,3.82762441585971
mhas,True,fixed,matched_0.15,False,unimpaired,31729,76.42963819434408
share,True,fixed,matched_0.15,False,cognitive_only,9685,9.03106088156582
share,True,fixed,matched_0.15,False,functional_only,11869,11.06759541593234
share,True,fixed,matched_0.15,False,joint,5606,5.227478296547029
share,True,fixed,matched_0.15,False,unimpaired,80081,74.67386540595481
charls,True,fixed,matched_0.15,True,cognitive_only,1103,5.0614904552129225
charls,True,fixed,matched_0.15,True,functional_only,2231,10.237701908957415
charls,True,fixed,matched_0.15,True,joint,354,1.6244493392070485
charls,True,fixed,matched_0.15,True,unimpaired,18104,83.07635829662262
elsa,False,fixed,matched_0.15,True,cognitive_only,4162,8.644180443632134
elsa,False,fixed,matched_0.15,True,functional_only,4430,9.200797540915511
elsa,False,fixed,matched_0.15,True,joint,1144,2.3760073107917257
elsa,False,fixed,matched_0.15,True,unimpaired,38412,79.77901470466063
hrs,True,fixed,matched_0.15,True,cognitive_only,8803,8.237881340071121
hrs,True,fixed,matched_0.15,True,functional_only,8145,7.622122403144301
hrs,True,fixed,matched_0.15,True,joint,2712,2.5379000561482314
hrs,True,fixed,matched_0.15,True,unimpaired,87200,81.60209620063635
klosa,True,fixed,matched_0.15,True,cognitive_only,1553,8.71786235545077
klosa,True,fixed,matched_0.15,True,functional_only,978,5.49006399461098
klosa,True,fixed,matched_0.15,True,joint,546,3.06500505220613
klosa,True,fixed,matched_0.15,True,unimpaired,14737,82.72706859773213
mhas,True,fixed,matched_0.15,True,cognitive_only,1651,8.233182067521069
mhas,True,fixed,matched_0.15,True,functional_only,1505,7.50511145464519
mhas,True,fixed,matched_0.15,True,joint,276,1.376352665436593
mhas,True,fixed,matched_0.15,True,unimpaired,16621,82.88535381239714
share,True,fixed,matched_0.15,True,cognitive_only,3289,7.864846122575862
share,True,fixed,matched_0.15,True,functional_only,4090,9.780243430019848
share,True,fixed,matched_0.15,True,joint,1154,2.759511226954255
share,True,fixed,matched_0.15,True,unimpaired,33286,79.59539922045003
charls,True,fixed,matched_0.20,False,cognitive_only,4010,10.257853269211092
charls,True,fixed,matched_0.20,False,functional_only,5340,13.66008390463522
charls,True,fixed,matched_0.20,False,joint,1934,4.94730379617313
charls,True,fixed,matched_0.20,False,unimpaired,27808,71.13475902998056
elsa,False,fixed,matched_0.20,False,cognitive_only,7683,12.103405904407825
elsa,False,fixed,matched_0.20,False,functional_only,8134,12.81388827625319
elsa,False,fixed,matched_0.20,False,joint,3175,5.001732883833769
elsa,False,fixed,matched_0.20,False,unimpaired,44486,70.08097293550522
hrs,True,fixed,matched_0.20,False,cognitive_only,17169,11.671572592980333
hrs,True,fixed,matched_0.20,False,functional_only,18490,12.569595040142486
hrs,True,fixed,matched_0.20,False,joint,9778,6.647133602082922
hrs,True,fixed,matched_0.20,False,unimpaired,101664,69.11169876479426
klosa,True,fixed,matched_0.20,False,cognitive_only,3985,14.477747502270663
klosa,True,fixed,matched_0.20,False,functional_only,1478,5.369663941871027
klosa,True,fixed,matched_0.20,False,joint,1664,6.045413260672116
klosa,True,fixed,matched_0.20,False,unimpaired,20398,74.1071752951862
mhas,True,fixed,matched_0.20,False,cognitive_only,5713,13.761622585151997
mhas,True,fixed,matched_0.20,False,functional_only,4516,10.878257937081466
mhas,True,fixed,matched_0.20,False,joint,2306,5.554752613576143
mhas,True,fixed,matched_0.20,False,unimpaired,28979,69.80536686419039
share,True,fixed,matched_0.20,False,cognitive_only,13550,12.635092921550527
share,True,fixed,matched_0.20,False,functional_only,10826,10.09501962868679
share,True,fixed,matched_0.20,False,joint,7111,6.63085946606242
share,True,fixed,matched_0.20,False,unimpaired,75754,70.63902798370026
charls,True,fixed,matched_0.20,True,cognitive_only,1629,7.475220264317181
charls,True,fixed,matched_0.20,True,functional_only,2768,12.701908957415565
charls,True,fixed,matched_0.20,True,joint,615,2.822136563876652
charls,True,fixed,matched_0.20,True,unimpaired,16780,77.0007342143906
elsa,False,fixed,matched_0.20,True,cognitive_only,5417,11.250726925313616
elsa,False,fixed,matched_0.20,True,functional_only,5933,12.322422530530863
elsa,False,fixed,matched_0.20,True,joint,1927,4.002243083824873
elsa,False,fixed,matched_0.20,True,unimpaired,34871,72.42460746033065
hrs,True,fixed,matched_0.20,True,cognitive_only,11156,10.439827812090586
hrs,True,fixed,matched_0.20,True,functional_only,12237,11.451431779898932
hrs,True,fixed,matched_0.20,True,joint,4784,4.476885644768856
hrs,True,fixed,matched_0.20,True,unimpaired,78683,73.63185476324162
klosa,True,fixed,matched_0.20,True,cognitive_only,2401,13.478163242393624
klosa,True,fixed,matched_0.20,True,functional_only,870,4.883799259009767
klosa,True,fixed,matched_0.20,True,joint,654,3.6712697878073426
klosa,True,fixed,matched_0.20,True,unimpaired,13889,77.96676771078927
mhas,True,fixed,matched_0.20,True,cognitive_only,2308,11.509499825462525
mhas,True,fixed,matched_0.20,True,functional_only,1819,9.0709619508303
mhas,True,fixed,matched_0.20,True,joint,469,2.3388021742382685
mhas,True,fixed,matched_0.20,True,unimpaired,15457,77.08073604946891
share,True,fixed,matched_0.20,True,cognitive_only,4778,11.425428632918052
share,True,fixed,matched_0.20,True,functional_only,3746,8.957650828570745
share,True,fixed,matched_0.20,True,joint,1498,3.5821038284033575
share,True,fixed,matched_0.20,True,unimpaired,31797,76.03481671010785
charls,True,fixed,matched_0.25,False,cognitive_only,5091,13.023124936048296
charls,True,fixed,matched_0.25,False,functional_only,5658,14.473549575360687
charls,True,fixed,matched_0.25,False,joint,2688,6.876087178962448
charls,True,fixed,matched_0.25,False,unimpaired,25655,65.62723830962857
elsa,False,fixed,matched_0.25,False,cognitive_only,9294,14.64129304640978
elsa,False,fixed,matched_0.25,False,functional_only,9310,14.666498629446423
elsa,False,fixed,matched_0.25,False,joint,4777,7.525441885377611
elsa,False,fixed,matched_0.25,False,unimpaired,40097,63.16676643876619
hrs,True,fixed,matched_0.25,False,cognitive_only,22829,15.519269073629683
hrs,True,fixed,matched_0.25,False,functional_only,17374,11.810932624523288
hrs,True,fixed,matched_0.25,False,joint,12385,8.419385320290141
hrs,True,fixed,matched_0.25,False,unimpaired,94513,64.25041298155689
klosa,True,fixed,matched_0.25,False,cognitive_only,4835,17.565849227974567
klosa,True,fixed,matched_0.25,False,functional_only,1359,4.937329700272479
klosa,True,fixed,matched_0.25,False,joint,1783,6.477747502270663
klosa,True,fixed,matched_0.25,False,unimpaired,19548,71.01907356948229
mhas,True,fixed,matched_0.25,False,cognitive_only,7349,17.70246182010888
mhas,True,fixed,matched_0.25,False,functional_only,4080,9.828009828009828
mhas,True,fixed,matched_0.25,False,joint,2742,6.605000722647781
mhas,True,fixed,matched_0.25,False,unimpaired,27343,65.8645276292335
share,True,fixed,matched_0.25,False,cognitive_only,17692,16.49742169506066
share,True,fixed,matched_0.25,False,functional_only,9613,8.963922380432857
share,True,fixed,matched_0.25,False,joint,8324,7.761956714316353
share,True,fixed,matched_0.25,False,unimpaired,71612,66.77669921019013
charls,True,fixed,matched_0.25,True,cognitive_only,2118,9.719162995594713
charls,True,fixed,matched_0.25,True,functional_only,3193,14.652165932452275
charls,True,fixed,matched_0.25,True,joint,1004,4.6071953010279
charls,True,fixed,matched_0.25,True,unimpaired,15477,71.02147577092511
elsa,False,fixed,matched_0.25,True,cognitive_only,6706,13.927889008889258
elsa,False,fixed,matched_0.25,True,functional_only,6882,14.293428595164908
elsa,False,fixed,matched_0.25,True,joint,3031,6.295173215917587
elsa,False,fixed,matched_0.25,True,unimpaired,31529,65.48350918002825
hrs,True,fixed,matched_0.25,True,cognitive_only,15334,14.34961632041924
hrs,True,fixed,matched_0.25,True,functional_only,11382,10.651319483436271
hrs,True,fixed,matched_0.25,True,joint,6203,5.8047913157402204
hrs,True,fixed,matched_0.25,True,unimpaired,73941,69.19427288040427
klosa,True,fixed,matched_0.25,True,cognitive_only,2967,16.655439541933312
klosa,True,fixed,matched_0.25,True,functional_only,800,4.490849893342315
klosa,True,fixed,matched_0.25,True,joint,724,4.064219153474795
klosa,True,fixed,matched_0.25,True,unimpaired,13323,74.78949141124959
mhas,True,fixed,matched_0.25,True,cognitive_only,3060,15.259562160275271
mhas,True,fixed,matched_0.25,True,functional_only,1683,8.392759188151398
mhas,True,fixed,matched_0.25,True,joint,605,3.0170049369171696
mhas,True,fixed,matched_0.25,True,unimpaired,14705,73.33067371465616
share,True,fixed,matched_0.25,True,cognitive_only,6323,15.119921566751955
share,True,fixed,matched_0.25,True,functional_only,3407,8.147014514933403
share,True,fixed,matched_0.25,True,joint,1837,4.392740142040699
share,True,fixed,matched_0.25,True,unimpaired,30252,72.34032377627395
charls,True,wave,legacy,False,cognitive_only,8015,20.502916197687508
charls,True,wave,legacy,False,functional_only,2339,5.983321395681981
charls,True,wave,legacy,False,joint,1846,4.722193799242812
charls,True,wave,legacy,False,unimpaired,26892,68.7915686073877
elsa,False,wave,legacy,False,cognitive_only,10735,16.911370868647406
elsa,False,wave,legacy,False,functional_only,5358,8.440719619395695
elsa,False,wave,legacy,False,joint,3138,4.943444973061533
elsa,False,wave,legacy,False,unimpaired,44247,69.70446453889537
hrs,True,wave,legacy,False,cognitive_only,33702,22.910789185661553
hrs,True,wave,legacy,False,functional_only,7643,5.195749858940456
hrs,True,wave,legacy,False,joint,9004,6.120964507379283
hrs,True,wave,legacy,False,unimpaired,96752,65.77249644801871
klosa,True,wave,legacy,False,cognitive_only,5203,18.902815622161672
klosa,True,wave,legacy,False,functional_only,659,2.394187102633969
klosa,True,wave,legacy,False,joint,1415,5.14078110808356
klosa,True,wave,legacy,False,unimpaired,20248,73.5622161671208
mhas,True,wave,legacy,False,cognitive_only,10814,26.04904369610252
mhas,True,wave,legacy,False,functional_only,2037,4.9067784361902005
mhas,True,wave,legacy,False,joint,2606,6.2774003950474535
mhas,True,wave,legacy,False,unimpaired,26057,62.766777472659825
share,True,wave,legacy,False,cognitive_only,25015,23.325966747792357
share,True,wave,legacy,False,functional_only,3473,3.238500200483024
share,True,wave,legacy,False,joint,5424,5.05776708534982
share,True,wave,legacy,False,unimpaired,73329,68.3777659663748
charls,True,wave,legacy,True,cognitive_only,3454,15.84985315712188
charls,True,wave,legacy,True,functional_only,1239,5.68557268722467
charls,True,wave,legacy,True,joint,661,3.033223201174743
charls,True,wave,legacy,True,unimpaired,16438,75.4313509544787
elsa,False,wave,legacy,True,cognitive_only,7667,15.923818227133006
elsa,False,wave,legacy,True,functional_only,3858,8.012793885519647
elsa,False,wave,legacy,True,joint,1950,4.050012461576805
elsa,False,wave,legacy,True,unimpaired,34673,72.01337542577055
hrs,True,wave,legacy,True,cognitive_only,22487,21.04342129889575
hrs,True,wave,legacy,True,functional_only,4784,4.476885644768856
hrs,True,wave,legacy,True,joint,4222,3.9509638779711773
hrs,True,wave,legacy,True,unimpaired,75367,70.52872917836422
klosa,True,wave,legacy,True,cognitive_only,3166,17.77253845290221
klosa,True,wave,legacy,True,functional_only,367,2.060177388570787
klosa,True,wave,legacy,True,joint,525,2.9471202425058944
klosa,True,wave,legacy,True,unimpaired,13756,77.22016391602111
mhas,True,wave,legacy,True,cognitive_only,4577,22.824515035156836
mhas,True,wave,legacy,True,functional_only,839,4.1839126315264545
mhas,True,wave,legacy,True,joint,548,2.732758190794395
mhas,True,wave,legacy,True,unimpaired,14089,70.25881414252231
share,True,wave,legacy,True,cognitive_only,8862,21.191324517563785
share,True,wave,legacy,True,functional_only,1076,2.572993137090796
share,True,wave,legacy,True,joint,972,2.324302350606184
share,True,wave,legacy,True,unimpaired,30909,73.91137999473924
charls,True,wave,strict,False,cognitive_only,6473,16.558375115113066
charls,True,wave,strict,False,functional_only,1587,4.059654149186534
charls,True,wave,strict,False,joint,992,2.537603601759951
charls,True,wave,strict,False,unimpaired,30040,76.84436713394045
elsa,False,wave,strict,False,cognitive_only,8847,13.937112070323577
